cod_ibge,pop_total,pop_urbana_pct,perc_jovens_15_29,renda_per_capita,taxa_desemprego,taxa_analfabetismo_15,perc_esgoto_adequado,gini,idhm,idhm_renda,idhm_longevidade,idhm_educacao,perc_pobres,pib_per_capita,densidade_demografica,taxa_homicidios,alta_violencia
5101605,7253.0,45.719,18.7371,985.39,3.2272,13.99,13.6587,0.5,0.6,0.598,0.82,0.44,27.47,17176.754446435956,0.6376335487555377,0.0,0
5101704,29403.0,85.9878,22.7154,1466.38,1.6959,9.21,24.3223,0.51,0.693,0.684,0.818,0.595,14.73,53354.14753596572,4.919468651207615,68.02027004047207,1
5101803,69210.0,89.9725,23.5949,1778.99,2.7567,4.13,49.65,0.55,0.748,0.738,0.817,0.693,10.88,37263.17006212975,8.275822485341534,14.448779078167894,1
5101852,7280.0,52.8846,23.4203,1533.79,1.7935,6.7,0.768,0.48,0.661,0.665,0.784,0.555,16.68,105646.42857142857,1.7062622637600207,54.94505494505494,1
5101902,17004.0,60.6975,24.5766,1603.19,0.523,6.82,9.9983,0.53,0.696,0.695,0.85,0.571,17.46,122739.00258762644,1.064856085676953,41.16678428605034,1
5102504,89681.0,88.5227,22.8733,1459.05,3.8778,7.45,20.466,0.53,0.708,0.691,0.813,0.633,14.28,25248.35806915623,3.660460633303241,45.717599045505736,1
5102603,15347.0,37.1864,25.3405,861.15,0.9023,13.58,4.1534,0.69,0.538,0.597,0.803,0.324,54.03,28491.431550140092,2.5668236331082954,19.54779435720336,1
5102637,45899.0,93.477,27.6128,1827.46,2.0355,3.84,5.0543,0.45,0.734,0.745,0.819,0.649,2.18,150551.97280986514,4.868068750507102,26.144360443582652,1
5102678,44585.0,87.2289,25.7329,1712.11,1.0065,5.16,55.4936,0.51,0.75,0.755,0.834,0.67,3.57,111984.79309184704,9.344822808871179,15.70034765055512,1
5102686,8822.0,79.8118,26.2526,1850.44,0.9301,6.81,0.5205,0.62,0.744,0.8,0.825,0.625,1.8,374342.66606211744,1.2987265354769337,56.67649059170256,1
5102694,4485.0,62.029,20.8919,1615.55,1.5294,9.47,0.1276,0.52,0.667,0.616,0.817,0.589,27.37,59568.5618729097,1.3003629708814375,22.296544035674472,1
5102702,25858.0,78.2504,24.1511,2136.38,1.2487,5.43,3.0975,0.53,0.693,0.735,0.825,0.549,10.29,113363.8719158481,2.3820883318297503,11.601825353855673,0
5102793,10332.0,59.2238,20.3639,1460.34,4.0807,10.4,0.185,0.52,0.665,0.656,0.809,0.553,18.91,28972.222222222223,4.266269384438274,0.0,0
5102850,7506.0,49.174,21.0765,1335.04,3.817,8.73,0.8082,0.55,0.665,0.671,0.8,0.547,20.79,28654.14335198508,2.021292237494567,26.64535038635758,1
5103007,18990.0,68.4518,19.426,1863.33,2.2772,9.46,5.8474,0.53,0.688,0.677,0.833,0.578,18.62,63953.55450236967,2.875855714729651,10.531858873091101,0
