cod_ibge,pop_total,pop_urbana_pct,perc_jovens_15_29,renda_per_capita,taxa_desemprego,taxa_analfabetismo_15,perc_esgoto_adequado
1507474,20689.0,63.4637,23.8484,624.11,9.7147,12.95,2.7926
1507508,13664.0,39.6809,23.1923,684.94,10.6767,18.26,14.123
1507607,52894.0,71.5506,26.5172,739.47,4.1525,10.38,5.0756
1507706,25643.0,43.9106,28.6667,541.45,5.9412,9.48,2.1341
1507755,5847.0,81.4777,27.1934,780.97,2.5615,12.59,1.5766
1507805,22576.0,39.7015,25.6423,627.7,8.7922,15.58,0.354
1507904,24204.0,93.1375,25.5288,728.05,3.5016,6.06,1.2565
1507953,72493.0,86.727,29.0869,829.7,6.3674,10.99,5.179
1507961,10400.0,56.8077,23.4038,729.04,12.4081,7.07,0.3577
1507979,18782.0,86.5669,25.7534,692.2,4.4243,5.15,12.9052
1508001,67585.0,63.338,27.0385,710.04,5.8898,11.05,3.734
1508035,28595.0,35.5761,24.5323,536.71,3.4644,15.24,0.6181
1508050,15242.0,61.6651,26.2039,964.72,3.345,11.74,0.064
1508084,39550.0,86.263,25.6814,1120.97,2.9476,11.14,2.2612
1508100,91306.0,93.7069,26.5065,1124.55,7.2723,7.81,14.6423
1508126,37972.0,69.7514,27.3991,718.62,7.1336,12.64,10.9897
1508159,43558.0,58.9513,25.9401,840.09,4.7271,11.22,7.6237
1508209,50832.0,77.8958,24.2229,699.55,4.2972,7.53,6.2821
1508308,58692.0,51.0052,27.0565,515.8,4.4072,16.96,4.2008
1508357,15607.0,55.7442,25.7192,838.42,6.852,12.7,7.5418
1508407,52893.0,87.7054,26.3135,1187.19,3.1479,8.79,4.9106
1600055,4673.0,58.2281,27.2844,1096.98,10.2032,5.02,38.1232
1600105,7943.0,83.4823,26.2621,841.51,8.4728,9.35,8.2725
1600154,12847.0,66.9962,26.5276,885.6,12.2227,8.07,2.8571
1600204,10612.0,83.1323,25.9518,827.69,10.6819,8.84,0.252
1600212,4461.0,63.5059,27.0567,642.81,19.1283,8.88,1.0381
1600238,6666.0,70.8971,25.0825,758.6,9.4918,6.82,1.0579
1600253,5599.0,48.4015,26.469,628.24,3.1196,9.55,0.8817
1600279,35114.0,91.9434,27.0889,867.35,6.3415,10.04,3.746
1600303,442933.0,94.5515,27.2441,1313.17,8.9731,4.7,16.9061
